name,x,z,s
570, 0.003087464, -0.002406406, 1.355121075
571, -0.004368751, -0.001619746, 1.360658384
572, -0.004617207, -0.004034341, 1.35879245
573, 0.004604988, -0.002903638, 1.351836291
574, 0.000657017, 0.00277533, 1.349476269
575, 0.003820572, -0.001564507, 1.354049289
576, 0.005485058, 0.000147022, 1.3513023
577, -0.001026604, -0.005041764, 1.362373722
579, -0.001915004, 0.004929153, 1.349894466
580, -0.006258637, -0.00145045, 1.363637026
581, -0.006398338, 0.000536046, 1.358393492
582, -0.001447742, -0.00375045, 1.360748715
583, -0.005248404, -0.004093527, 1.365898895
584, -0.000822308, -0.006932516, 1.365444035
585, 0.004374276, 0.00193282, 1.346475714
586, 0.007776426, 0.0063942, 1.342008922
587, 0.001930723, 0.00592766, 1.348950192
588, -0.004830387, 0.000478482, 1.357763741
589, -0.001299757, 0.007764634, 1.348582426
590, -0.005890349, 0.001503919, 1.36081759
591, 0.000192736, 0.002108755, 1.356771577
592, -0.003728584, -0.001778774, 1.357157922
593, 0.002893064, 0.003740641, 1.345897494
594, 0.002121808, -0.000907726, 1.357104154
595, -0.004272736, -0.007457241, 1.366903084
596, -0.002722194, -0.001332622, 1.355076354
597, -0.001174123, -0.003966939, 1.361823831
598, 0.002091293, -0.003159672, 1.353473773
599, -0.005206061, -0.001952273, 1.357802457
600, 0.002955971, 0.000736161, 1.350474534
601, -0.003100092, 0.003145514, 1.352359972
602, 0.003857935, -0.002757289, 1.353695046
603, -0.000215082, 0.004539366, 1.344055346
604, -0.000658958, 9.08907E-05, 1.354357318
605, -0.004672433, -0.003450061, 1.363673017
606, -0.001928034, -0.004243956, 1.363483785
607, 0.001810281, 0.003167992, 1.350949665
608, -0.002967087, -0.003697447, 1.364102134
609, 0.0022006, -0.000680598, 1.356798234
610, 0.001209186, 0.005390483, 1.352095983
611, 0.003541887, 0.001290016, 1.346315439
612, -0.0048854, -0.002031779, 1.363474144
613, -0.005053339, -0.001038045, 1.361264491
614, -0.002690558, -0.008369353, 1.371265225
615, -0.002324352, 0.004535321, 1.355478242
616, -0.006231952, -0.003087389, 1.362982787
617, 0.001804272, -0.000771638, 1.358166239
618, -0.000158362, 0.005553976, 1.353425843
619, 0.001879958, 0.001823333, 1.347569857
620, -0.004835579, -0.000980801, 1.359479827
621, 0.005822975, 0.000146988, 1.348951535
622, 0.0016652, 0.001710511, 1.350539345
623, -0.002773599, 0.001534573, 1.358550821
624, 0.00100923, 0.000929852, 1.354366272
625, 0.000860854, 0.002627872, 1.349545694
626, -0.005015013, 0.006251747, 1.355697646
627, -0.000284136, -0.000738753, 1.352799257
628, 0.003301161, 0.00279242, 1.348953722
629, -0.004719805, -0.003782701, 1.363172394
